OrphaCode,Name,FunctionalConsequence,LossOfAbility,DisabilityType,Defined
893,WAGR syndrome,"[""Managing one's health (diet, medications, prevention, needs, assistance, monitoring)"", 'Falling asleep', 'Staying asleep', 'Getting good quality sleep', 'Staying awake', ""Handling stress, responsabilities, emergencies and ensuring one's safety"", 'Handling emotions and mood', ""Controlling one's own general behaviour"", ""Controlling one's own eating behaviour"", 'Moving around outside the home', 'Using transportation', 'Driving', 'Interacting with other people', 'Making/keeping friends', 'Maintaining family relationships', 'Dealing with strangers', 'Engaging in and maintaining intimate relationships', 'Engaging in sexual relationships', 'Shopping', 'Cooking/preparing meals', 'Doing housework', 'Looking after/helping others', 'Attending preschool', 'Attending mainstream school', 'Attending school in an adapted mainstream/special environment', 'Learning a profession (vocational training/apprenticeship) in the standard environment', 'Learning a profession (vocational training/apprenticeship) in an adapted mainstream/special environment', 'Accessing higher education', 'Engaging in paid work in a standard environment', 'Engaging in paid work in a supported/sheltered environment', 'Seeking employment', 'Performing professional tasks', ""Handling money/managing one's own budget"", 'Carrying out administrative procedures', 'Undertaking a simple task', 'Undertaking a complex/multiple task', 'Carrying out daily routines', 'Taking part in community life', 'Playing with others', 'Socializing', 'Practicing sports', 'Participating in the arts and cultural activities', 'Travelling', 'Light intensity', 'Light quality', 'Day/night cycles', 'Sound intensity', 'Seeing/watching', 'Hearing/listening', 'Acquiring language', 'Learning to read', 'Learning to write', 'Learning to calculate', 'Reading', 'Writing', 'Calculating', 'Focusing attention', 'Memorizing and retrieving', 'Thinking and reasoning', 'Making decisions/taking initiatives/finding solutions', 'Being aware of time', 'Being aware of space', 'Receiving spoken messages', 'Receiving messages in sign language', 'Receiving nonverbal messages', 'Receiving written messages', 'Speaking', 'Producing messages in sign language', 'Producing nonverbal messages', 'Writing messages', 'Participating in a conversation', 'Using communication devices', 'Standing', 'Sitting', 'Bending', 'Transferring oneself', 'Maintaining a standing position', 'Maintaining head position', 'Reaching and catching objects', 'Lifting and carrying objects', 'Handling objects (fine hand use)', 'Walking short distances', 'Walking long distances', 'Performing vigorous activities (climbing, running, jumping, swimming,...)', 'Washing oneself', 'Caring for body parts (skin, teeth, nails, hair, genitals)', 'Regulating urination', 'Regulating defecation', 'Dressing/undressing', 'Eating', 'Drinking']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'n', 'n', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']","['Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Environmental factor', 'Environmental factor', 'Environmental factor', 'Environmental factor', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability']","['y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'n', 'y', 'y', 'y', 'n', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y']"
503,Larsen syndrome,"['Hearing/listening', 'Sitting', 'Reaching and catching objects', 'Lifting and carrying objects', 'Walking short distances', 'Walking long distances', 'Performing vigorous activities (climbing, running, jumping, swimming,...)', 'Doing housework', 'Practicing sports', 'Sound intensity']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y']","['Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Environmental factor']","['y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'n']"
894,Waardenburg syndrome type 1,"[""Managing one's health (diet, medications, prevention, needs, assistance, monitoring)"", 'Using transportation', 'Interacting with other people', 'Attending preschool', 'Attending mainstream school', 'Learning a profession (vocational training/apprenticeship) in the standard environment', 'Accessing higher education', 'Engaging in paid work in a standard environment', 'Seeking employment', 'Performing professional tasks', 'Carrying out administrative procedures', 'Taking part in community life', 'Playing with others', 'Participating in the arts and cultural activities', 'Travelling', 'Light intensity', 'Light quality', 'Sound intensity', 'Sound quality', 'Vibrations', 'Learning to read', 'Learning to write', 'Reading', 'Writing', 'Focusing attention', 'Memorizing and retrieving', 'Receiving spoken messages', 'Speaking', 'Participating in a conversation', 'Using communication devices', 'Hearing/listening', 'Acquiring language']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']","['Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Environmental factor', 'Environmental factor', 'Environmental factor', 'Environmental factor', 'Environmental factor', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability']","['y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y']"
896,Waardenburg syndrome type 3,['NA'],['NA'],['NA'],['NA']
895,Waardenburg syndrome type 2,"['Hearing/listening', 'Acquiring language', 'Learning to read', 'Learning to write', 'Reading', 'Writing', 'Focusing attention', 'Memorizing and retrieving', 'Receiving spoken messages', 'Speaking', 'Participating in a conversation', 'Using communication devices', ""Managing one's health (diet, medications, prevention, needs, assistance, monitoring)"", 'Using transportation', 'Interacting with other people', 'Attending preschool', 'Attending mainstream school', 'Learning a profession (vocational training/apprenticeship) in the standard environment', 'Accessing higher education', 'Engaging in paid work in a standard environment', 'Seeking employment', 'Performing professional tasks', 'Carrying out administrative procedures', 'Taking part in community life', 'Playing with others', 'Participating in the arts and cultural activities', 'Travelling', 'Light intensity', 'Light quality', 'Sound intensity', 'Sound quality', 'Vibrations']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'y', 'y', 'y', 'y']","['Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Environmental factor', 'Environmental factor', 'Environmental factor', 'Environmental factor', 'Environmental factor']","['y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n']"
897,Waardenburg-Shah syndrome,"['Hearing/listening', 'Acquiring language', 'Learning to read', 'Learning to write', 'Reading', 'Writing', 'Focusing attention', 'Memorizing and retrieving', 'Receiving spoken messages', 'Speaking', 'Participating in a conversation', 'Using communication devices', ""Managing one's health (diet, medications, prevention, needs, assistance, monitoring)"", 'Using transportation', 'Interacting with other people', 'Attending preschool', 'Attending mainstream school', 'Learning a profession (vocational training/apprenticeship) in the standard environment', 'Accessing higher education', 'Engaging in paid work in a standard environment', 'Seeking employment', 'Performing professional tasks', 'Carrying out administrative procedures', 'Taking part in community life', 'Playing with others', 'Participating in the arts and cultural activities', 'Travelling', 'Regulating urination', 'Regulating defecation', 'Practicing sports', 'Light intensity', 'Light quality', 'Sound intensity', 'Sound quality', 'Vibrations', 'Food']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'y', 'y', 'y', 'y', 'y']","['Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Environmental factor', 'Environmental factor', 'Environmental factor', 'Environmental factor', 'Environmental factor', 'Environmental factor']","['y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n']"
33226,Waldenström macroglobulinemia,"['Moving around within the home', 'Moving around within the home', 'Moving around outside the home', 'Moving around outside the home', 'Using transportation', 'Using transportation', 'Work and economic life', 'Work and economic life', 'Engaging in paid work in a standard environment', 'Engaging in paid work in a standard environment', 'Engaging in paid work in a supported/sheltered environment', 'Engaging in paid work in a supported/sheltered environment', 'Seeking employment', 'Seeking employment', 'Performing professional tasks', 'Performing professional tasks', 'Practicing sports', 'Practicing sports', 'Travelling', 'Travelling', 'Seeing/watching', 'Seeing/watching', 'Seeing/watching', 'Learning', 'Learning', 'Learning', 'Applying knowledge', 'Applying knowledge', 'Applying knowledge', 'Calculating', 'Calculating', 'Calculating', 'Focusing attention', 'Focusing attention', 'Focusing attention', 'Making decisions/taking initiatives/finding solutions', 'Making decisions/taking initiatives/finding solutions', 'Making decisions/taking initiatives/finding solutions', 'Maintaining body position', 'Maintaining body position', 'Maintaining a standing position', 'Maintaining a standing position', 'Walking short distances', 'Walking short distances', 'Walking long distances', 'Walking long distances', 'Performing vigorous activities (climbing, running, jumping, swimming,...)', 'Performing vigorous activities (climbing, running, jumping, swimming,...)']","['n', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'n', 'y', 'n', 'n', 'y', 'n', 'n', 'y', 'n', 'n', 'y', 'n', 'n', 'y', 'n', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'y', 'n', 'y']","['Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability']","['y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y']"
3449,Weill-Marchesani syndrome,"['Seeing/watching', 'Hearing/listening', 'Reaching and catching objects', 'Reaching and catching objects', 'Handling objects (fine hand use)', 'Handling objects (fine hand use)', 'Walking long distances', 'Humidity']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'y']","['Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Environmental factor']","['y', 'y', 'y', 'y', 'y', 'y', 'y', 'n']"
900,Granulomatosis with polyangiitis,"['Standing', 'Standing', 'Maintaining a standing position', 'Reaching and catching objects', 'Reaching and catching objects', 'Lifting and carrying objects', 'Lifting and carrying objects', 'Handling objects (fine hand use)', 'Handling objects (fine hand use)', 'Walking short distances', 'Walking short distances', 'Walking long distances', 'Walking long distances', 'Performing vigorous activities (climbing, running, jumping, swimming,...)', 'Performing vigorous activities (climbing, running, jumping, swimming,...)', 'Dressing/undressing', 'Dressing/undressing', 'Eating', 'Eating', 'Drinking', 'Drinking', 'Staying asleep', 'Staying asleep', 'Getting good quality sleep', 'Getting good quality sleep', 'Staying awake', 'Staying awake', 'Moving around outside the home', 'Moving around outside the home', 'Driving', 'Driving', 'Shopping', 'Shopping', 'Cooking/preparing meals', 'Cooking/preparing meals', 'Doing housework', 'Doing housework', 'Engaging in paid work in a standard environment', 'Performing professional tasks', 'Practicing sports', 'Practicing sports', 'Travelling', 'Air quality']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y']","['Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Environmental factor']","['y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'n']"
902,Werner syndrome,"['Speaking', 'Standing', 'Maintaining a standing position', 'Walking short distances', 'Walking long distances', 'Washing oneself', 'Caring for body parts (skin, teeth, nails, hair, genitals)', 'Dressing/undressing', ""Managing one's health (diet, medications, prevention, needs, assistance, monitoring)"", 'Moving around within the home', 'Moving around outside the home', 'Using transportation', 'Shopping', 'Cooking/preparing meals', 'Engaging in paid work in a standard environment', 'Engaging in paid work in a supported/sheltered environment', 'Performing professional tasks', 'Carrying out daily routines', 'Practicing sports', 'Doing housework', 'Looking after/helping others', 'Seeking employment', 'Travelling', 'Performing vigorous activities (climbing, running, jumping, swimming,...)', 'Driving']","['n', 'y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y', 'n', 'n', 'n', 'y', 'y', 'n']","['Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability', 'Disability']","['y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y', 'y']"
